,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
444,RCOM,EQ,2019-02-25,6.5,6.5,6.5,5.9,6.15,6.0,6.07,95247158,577970050.45,30672,20987169,22.03,2,2019,18.855333036435695,-0.07692307692307687,Slight or No change
445,RCOM,EQ,2019-02-26,6.0,5.9,6.65,5.85,6.4,6.4,6.28,121674643,763709453.35,38280,14618726,12.01,2,2019,18.815802049309042,0.06666666666666665,Slight or No change
446,RCOM,EQ,2019-02-27,6.4,6.45,6.7,6.2,6.55,6.5,6.46,103565202,669084523.3,39706,18114769,17.49,2,2019,18.782830268325558,0.015625,Slight or No change
447,RCOM,EQ,2019-02-28,6.5,6.5,6.65,6.3,6.5,6.5,6.45,89537271,577419613.35,48662,17743671,19.82,2,2019,18.754443011923453,0.0,Slight or No change
448,RCOM,EQ,2019-03-01,6.5,6.55,6.75,6.5,6.6,6.6,6.61,37810434,249762715.4,18634,10474837,27.7,3,2019,18.74265001609822,0.01538461538461533,Slight or No change
449,RCOM,EQ,2019-03-05,6.6,6.6,6.7,6.45,6.65,6.65,6.62,29368036,194288655.6,14126,11119144,37.86,3,2019,18.73351351494858,0.007575757575757791,Slight or No change
450,RCOM,EQ,2019-03-06,6.65,6.7,6.75,5.9,6.05,6.05,6.3,51975776,327247819.75,23731,26058688,50.14,3,2019,18.716951110131763,-0.09022556390977454,Slight or No change
451,RCOM,EQ,2019-03-07,6.05,6.1,6.1,5.85,5.95,5.9,6.0,24126795,144651080.45,13686,13759069,57.03,3,2019,18.709092554730773,-0.024793388429751984,Slight or No change
452,RCOM,EQ,2019-03-08,5.9,6.0,6.0,5.8,5.9,5.85,5.88,17747421,104368884.7,10296,8321760,46.89,3,2019,18.70326355676873,-0.008474576271186529,Slight or No change
453,RCOM,EQ,2019-03-11,5.85,5.85,5.9,5.25,5.3,5.35,5.53,46595548,257698007.25,43039,32751868,70.29,3,2019,18.687567782174046,-0.0854700854700855,Slight or No change
454,RCOM,EQ,2019-03-12,5.35,5.45,5.55,5.05,5.15,5.1,5.24,45161652,236479453.2,34278,32162445,71.22,3,2019,18.67205615822743,-0.04672897196261683,Slight or No change
455,RCOM,EQ,2019-03-13,5.1,5.15,5.15,4.8,4.95,4.9,4.97,42631323,211772575.85,47039,29726127,69.73,3,2019,18.657152748885366,-0.039215686274509665,Slight or No change
456,RCOM,EQ,2019-03-14,4.9,4.9,4.95,4.6,4.7,4.65,4.72,36928629,174253620.85,43025,23059893,62.44,3,2019,18.644033791254987,-0.05102040816326525,Slight or No change
457,RCOM,EQ,2019-03-15,4.65,4.7,4.7,4.35,4.4,4.4,4.44,49090349,218084533.3,38116,33229307,67.69,3,2019,18.626282628224956,-0.053763440860215006,Slight or No change
458,RCOM,EQ,2019-03-18,4.4,4.3,4.3,3.95,4.0,4.0,4.06,70109329,284378192.8,56869,48201468,68.75,3,2019,18.600330732243794,-0.09090909090909094,Slight or No change
459,RCOM,EQ,2019-03-19,4.0,4.4,4.4,4.3,4.4,4.4,4.4,106963985,470612563.2,21661,66197153,61.89,3,2019,18.56183596632351,0.10000000000000009,Slight or No change
460,RCOM,EQ,2019-03-20,4.4,4.8,4.8,4.65,4.8,4.8,4.79,35449865,169930748.95,7128,23544920,66.42,3,2019,18.549474156109646,0.09090909090909083,Slight or No change
461,RCOM,EQ,2019-03-22,4.8,5.25,5.25,4.85,5.25,5.25,5.16,211154872,1088614340.15,71779,78830388,37.33,3,2019,18.47826686507286,0.09375,Slight or No change
462,RCOM,EQ,2019-03-25,5.25,5.15,5.15,5.0,5.0,5.0,5.04,57980600,292409608.85,19813,32205643,55.55,3,2019,18.458671558404458,-0.04761904761904767,Slight or No change
463,RCOM,EQ,2019-03-26,5.0,4.75,4.85,4.75,4.75,4.75,4.75,20811969,98872774.5,9136,13079048,62.84,3,2019,18.451500101604,-0.050000000000000044,Slight or No change
464,RCOM,EQ,2019-03-27,4.75,4.55,4.55,4.55,4.55,4.55,4.55,4895814,22275953.7,5163,4875004,99.57,3,2019,18.449789566543924,-0.04210526315789476,Slight or No change
465,RCOM,EQ,2019-03-28,4.55,4.35,4.35,4.35,4.35,4.35,4.35,6336135,27562187.25,5612,6320815,99.76,3,2019,18.447544582277626,-0.04395604395604402,Slight or No change
466,RCOM,EQ,2019-03-29,4.35,4.15,4.15,4.15,4.15,4.15,4.15,8838819,36681098.85,7249,8788677,99.43,3,2019,18.444369642458057,-0.045977011494252706,Slight or No change
467,RCOM,EQ,2019-04-01,4.15,3.95,4.1,3.95,3.95,3.95,3.98,100285154,398872434.25,19061,46291324,46.16,4,2019,18.408018076746824,-0.048192771084337394,Slight or No change
468,RCOM,EQ,2019-04-02,3.95,3.85,3.9,3.8,3.8,3.8,3.83,27477288,105330027.55,8001,19985342,72.73,4,2019,18.397986704055988,-0.03797468354430389,Slight or No change
469,RCOM,EQ,2019-04-03,3.8,3.65,3.65,3.65,3.65,3.65,3.65,7529599,27483036.35,5909,5629589,74.77,4,2019,18.395206282056645,-0.03947368421052633,Slight or No change
470,RCOM,EQ,2019-04-04,3.65,3.5,3.7,3.5,3.5,3.5,3.54,104887888,371389597.1,16753,43228570,41.21,4,2019,18.356295397863693,-0.041095890410958846,Slight or No change
471,RCOM,EQ,2019-04-05,3.5,3.35,3.35,3.35,3.35,3.35,3.35,7702191,25802339.85,5554,7697582,99.94,4,2019,18.353409564028325,-0.042857142857142816,Slight or No change
472,RCOM,EQ,2019-04-08,3.35,3.2,3.3,3.2,3.2,3.2,3.21,23464212,75309552.05,5791,14116256,60.16,4,2019,18.34454292906387,-0.04477611940298509,Slight or No change
473,RCOM,EQ,2019-04-09,3.2,3.05,3.05,3.05,3.05,3.05,3.05,5846693,17832413.65,4987,5286979,90.43,4,2019,18.34231186200765,-0.04687500000000011,Slight or No change
474,RCOM,EQ,2019-04-10,3.05,2.9,2.9,2.9,2.9,2.9,2.9,7046997,20436291.3,6429,7021726,99.64,4,2019,18.33959726175854,-0.0491803278688524,Slight or No change
475,RCOM,EQ,2019-04-11,2.9,2.8,2.8,2.8,2.8,2.8,2.8,5081476,14228132.8,4456,5051866,99.42,4,2019,18.33762772509592,-0.034482758620689724,Slight or No change
476,RCOM,EQ,2019-04-12,2.8,2.7,2.7,2.7,2.7,2.7,2.7,5218162,14089037.4,4341,5218161,100.0,4,2019,18.33559271607479,-0.03571428571428559,Slight or No change
477,RCOM,EQ,2019-04-15,2.7,2.6,2.7,2.6,2.6,2.6,2.6,38546912,100318875.45,8405,27335283,70.91,4,2019,18.32048032044134,-0.03703703703703709,Slight or No change
478,RCOM,EQ,2019-04-16,2.6,2.5,2.5,2.5,2.5,2.5,2.5,4179555,10448887.5,4527,4179555,100.0,4,2019,18.31883304925011,-0.03846153846153855,Slight or No change
479,RCOM,EQ,2019-04-18,2.5,2.4,2.4,2.4,2.4,2.4,2.4,4123227,9895744.8,3720,4123227,100.0,4,2019,18.31719804359656,-0.040000000000000036,Slight or No change
480,RCOM,EQ,2019-04-22,2.4,2.3,2.3,2.3,2.3,2.3,2.3,4567152,10504449.6,3418,4567152,100.0,4,2019,18.315376022542495,-0.04166666666666674,Slight or No change
481,RCOM,EQ,2019-04-23,2.3,2.2,2.2,2.2,2.2,2.2,2.2,3027180,6659796.0,2983,3027180,100.0,4,2019,18.314161047588836,-0.04347826086956508,Slight or No change
482,RCOM,EQ,2019-04-24,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2377164,4992044.4,2791,2377164,100.0,4,2019,18.31320116845203,-0.045454545454545525,Slight or No change
483,RCOM,EQ,2019-04-25,2.1,2.0,2.0,2.0,2.0,2.0,2.0,5643974,11287948.0,3903,5643974,100.0,4,2019,18.310908580090704,-0.04761904761904767,Slight or No change
484,RCOM,EQ,2019-04-26,2.0,1.9,2.05,1.9,1.9,1.9,1.92,66133254,126814936.7,14346,34175624,51.68,4,2019,18.283961591982013,-0.050000000000000044,Slight or No change
485,RCOM,EQ,2019-04-30,1.9,1.85,1.85,1.85,1.85,1.85,1.85,22861426,42293638.1,4372,22336425,97.7,4,2019,18.274627197563262,-0.02631578947368407,Slight or No change
486,RCOM,EQ,2019-05-02,1.85,1.9,1.9,1.9,1.9,1.9,1.9,16688044,31707283.6,3933,16182408,96.97,5,2019,18.267840829769405,0.027027027027026973,Slight or No change
487,RCOM,EQ,2019-05-03,1.9,1.95,1.95,1.95,1.95,1.95,1.95,2617494,5104113.3,1527,2617394,100.0,5,2019,18.26678015877483,0.026315789473684292,Slight or No change
488,RCOM,EQ,2019-05-06,1.95,2.0,2.0,2.0,2.0,2.0,2.0,2367025,4734050.0,1408,2367025,100.0,5,2019,18.26582404137863,0.025641025641025772,Slight or No change
489,RCOM,EQ,2019-05-07,2.0,2.0,2.1,2.0,2.1,2.1,2.06,64199212,132527487.85,9103,34677474,54.02,5,2019,18.240030213138397,0.050000000000000044,Slight or No change
490,RCOM,EQ,2019-05-08,2.1,2.1,2.2,2.1,2.2,2.2,2.18,27455636,59727557.0,4208,14957834,54.48,5,2019,18.22910581961756,0.04761904761904767,Slight or No change
491,RCOM,EQ,2019-05-09,2.2,2.3,2.3,2.3,2.3,2.3,2.3,7854126,18064489.8,2385,7711773,98.19,5,2019,18.226006800676714,0.04545454545454519,Slight or No change
492,RCOM,EQ,2019-05-10,2.3,2.4,2.4,2.4,2.4,2.4,2.4,3584592,8603020.8,1560,3584592,100.0,5,2019,18.22460169985405,0.04347826086956519,Slight or No change
493,RCOM,EQ,2019-05-13,2.4,2.45,2.5,2.3,2.3,2.3,2.4,42329516,101450335.7,9541,26309575,62.15,5,2019,18.208028078590967,-0.04166666666666674,Slight or No change
